Designator,Mid X,Mid Y,Rotation,Layer
D1,35.71875,-21.669375,90.0,bottom
D10,238.25375,-21.684375,90.0,bottom
D11,257.30375,-21.684375,90.0,bottom
D12,265.57875,-32.156875,180.0,bottom
D13,35.71875,-40.719375,90.0,bottom
D14,54.76875,-40.719375,90.0,bottom
D15,73.81875,-40.719375,90.0,bottom
D16,92.86875,-40.719375,90.0,bottom
D17,111.91875,-40.719375,90.0,bottom
D18,130.96875,-40.719375,90.0,bottom
D19,181.10375,-40.734375,90.0,bottom
D2,54.76875,-21.669375,90.0,bottom
D20,200.15375,-40.734375,90.0,bottom
D21,219.20375,-40.734375,90.0,bottom
D22,238.25375,-40.734375,90.0,bottom
D23,257.30375,-40.734375,90.0,bottom
D24,265.52875,-51.206875,180.0,bottom
D25,35.71875,-59.769375,90.0,bottom
D26,54.76875,-59.769375,90.0,bottom
D27,73.81875,-59.769375,90.0,bottom
D28,92.86875,-59.769375,90.0,bottom
D29,111.91875,-59.769375,90.0,top
D3,73.81875,-21.669375,90.0,bottom
D30,130.96875,-59.769375,90.0,bottom
D31,181.10375,-59.784375,90.0,bottom
D32,200.15375,-59.784375,90.0,bottom
D33,219.20375,-59.784375,90.0,bottom
D34,238.25375,-59.784375,90.0,bottom
D35,257.30375,-59.784375,90.0,bottom
D36,265.65875,-70.296875,180.0,bottom
D37,92.86875,-78.819375,90.0,bottom
D38,111.91875,-78.819375,90.0,bottom
D39,130.96875,-78.819375,90.0,bottom
D4,92.86875,-21.669375,90.0,bottom
D40,181.10375,-78.834375,90.0,bottom
D41,200.15375,-78.834375,90.0,bottom
D42,219.20375,-78.834375,90.0,bottom
D5,111.91875,-21.669375,90.0,bottom
D6,130.96875,-21.669375,90.0,bottom
D7,181.10375,-21.684375,90.0,bottom
D8,200.15375,-21.684375,90.0,bottom
D9,219.20375,-21.684375,90.0,bottom
S1,26.19375,-20.456875,0.0,top
S10,228.72875,-20.471875,0.0,top
S11,247.77875,-20.471875,0.0,top
S12,266.82875,-20.471875,0.0,top
S13,26.19375,-39.506875,0.0,top
S14,45.24375,-39.506875,0.0,top
S15,64.29375,-39.506875,0.0,top
S16,83.34375,-39.506875,0.0,top
S17,102.39375,-39.506875,0.0,top
S18,121.44375,-39.506875,0.0,top
S19,171.57875,-39.521875,0.0,top
S2,45.24375,-20.456875,0.0,top
S20,190.62875,-39.521875,0.0,top
S21,209.67875,-39.521875,0.0,top
S22,228.72875,-39.521875,0.0,top
S23,247.77875,-39.521875,0.0,top
S24,266.82875,-39.521875,0.0,top
S25,26.19375,-58.556875,0.0,top
S26,45.24375,-58.556875,0.0,top
S27,64.29375,-58.556875,0.0,top
S28,83.34375,-58.556875,0.0,top
S29,102.39375,-58.556875,0.0,top
S3,64.29375,-20.456875,0.0,top
S30,121.44375,-58.556875,0.0,top
S31,171.57875,-58.581875,0.0,top
S32,190.62875,-58.571875,0.0,top
S33,209.67875,-58.571875,0.0,top
S34,228.72875,-58.571875,0.0,top
S35,247.77875,-58.571875,0.0,top
S36,266.82875,-58.571875,0.0,top
S37,83.34375,-77.606875,0.0,top
S38,102.39375,-77.606875,0.0,top
S39,121.44375,-77.606875,0.0,top
S4,83.34375,-20.456875,0.0,top
S40,171.57875,-77.621875,0.0,top
S41,190.62875,-77.621875,0.0,top
S42,209.67875,-77.621875,0.0,top
S5,102.39375,-20.456875,0.0,top
S6,121.44375,-20.456875,0.0,top
S7,171.57875,-20.471875,0.0,top
S8,190.62875,-20.471875,0.0,top
S9,209.67875,-20.471875,0.0,top
U1,146.46875,-41.836875,0.0,top
